id;total_service_orders;total_volume;total_weight;total_finished_service_orders;days_to_start;days_to_accept;total_pickup_problems;total_delivery_problems
469978;60;0.9360000000000004;87.63200000000002;60;0 days 03:07:14;0 days 00:00:08;0;0
469991;12;0.0;48.57;12;0 days 02:40:56;0 days 00:00:04;0;0
469983;2;0.02;1.0;2;0 days 01:20:09;0 days 00:00:03;0;0
469333;153;2.0100000000000002;358.7160000000002;153;4 days 02:34:02;0 days 00:00:23;7;21
469378;10;0.09999999999999999;10.0;8;0 days 00:20:00;0 days 00:35:36;2;2
469363;2;0.0;1.6;2;0 days 02:06:48;0 days 03:14:56;2;2
469367;48;5.339999999999999;974.7;32;0 days 00:00:10;0 days 00:11:12;22;34
469369;245;2.5179999999999962;407.7189999999999;233;0 days 00:04:50;0 days 00:01:51;3;101
469397;26;1.0400000000000003;77.02;23;0 days 01:51:30;0 days 00:08:50;3;6
469382;12;0.11999999999999998;12.0;8;;;4;4
469339;52;0.7080000000000003;98.282;52;0 days 01:06:00;0 days 00:00:09;0;6
469375;20;0.21200000000000005;32.512;20;0 days 00:00:42;0 days 00:08:06;0;2
469374;20;0.6900000000000002;90.72199999999998;20;0 days 00:23:59;0 days 00:00:06;0;2
469396;22;0.8800000000000002;106.78000000000002;22;0 days 01:31:44;0 days 00:08:50;0;0
469413;4;0.1;0.0;4;;;0;0
469354;2;0.0;0.0;2;;;0;0
469431;2;0.0;0.0;2;2 days 22:48:21;0 days 00:00:02;0;0
469409;40;1.764;330.439;34;0 days 01:12:38;0 days 00:06:06;0;0
469394;3;1.35;276.012;3;0 days 00:00:18;0 days 00:01:30;0;0
469395;14;1.18;67.38;14;0 days 00:05:41;0 days 00:00:06;0;0
469392;8;0.08;0.0;8;0 days 01:04:00;0 days 00:31:55;0;0
469418;10;0.04;4.0;10;;;0;0
469368;5;4.09;815.03;5;0 days 00:34:52;0 days 00:05:51;0;0
469425;2;0.02;0.0;2;;;0;0
469338;6;1.198;244.786;0;;;0;0
469352;2;0.0;0.0;2;;;0;0
469340;4;0.0;0.0;4;;;0;0
469400;9;1.7880000000000003;335.99799999999993;9;0 days 00:07:06;0 days 00:01:08;0;0
469428;3;1.21;242.8;3;0 days 00:02:55;0 days 00:03:15;0;0
469417;8;0.08;0.0;8;;;0;0
469362;2;0.0;0.0;2;3 days 09:27:28;0 days 00:00:02;0;0
469433;4;0.22;0.0;4;0 days 00:04:10;0 days 00:00:01;0;0
469344;2;0.0;0.0;2;;;0;0
469434;2;0.0;4.0;2;0 days 00:02:05;0 days 00:00:01;0;0
468898;166;2.3949999999999974;398.08699999999993;166;0 days 00:12:06;0 days 00:00:19;5;166
468901;35;1.7919999999999998;391.7020000000001;35;0 days 00:03:42;0 days 00:24:01;0;32
468954;37;0.3800000000000001;69.34199999999998;37;0 days 00:20:11;0 days 00:00:10;0;3
468978;20;0.3480000000000001;39.144;20;0 days 00:12:11;0 days 00:00:07;0;2
469003;20;0.8000000000000002;98.79999999999998;20;0 days 01:42:12;0 days 00:14:39;0;4
468941;68;0.9920000000000004;118.52199999999999;68;0 days 01:28:06;0 days 00:00:10;0;15
